"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_5501","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia"
"ASV_5502","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5503","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter"
"ASV_5504","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA
"ASV_5505","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculaceae","Desulfotomaculum"
"ASV_5506","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_5507","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA
"ASV_5508","Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae","Fonticella"
"ASV_5509","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1 aquatic group",NA
"ASV_5510","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ASV_5511","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_5512","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_5513","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_5514","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_5515","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_5516","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"ASV_5517","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_5518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"ASV_5519","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_5520","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV_5521","Bacteria","Chloroflexi","Dehalococcoidia","GIF3",NA,NA
"ASV_5522","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV_5523","Bacteria","Sva0485",NA,NA,NA,NA
"ASV_5524","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales",NA,NA
"ASV_5525","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41",NA,NA
"ASV_5526","Bacteria","Patescibacteria","ABY1","Candidatus Buchananbacteria",NA,NA
"ASV_5527","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcus"
"ASV_5528","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_5529","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV_5530","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV_5531","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"ASV_5532","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales",NA,NA
"ASV_5533","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ASV_5534","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_5535","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_5536","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium"
"ASV_5537","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora",NA
"ASV_5538","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta"
"ASV_5539","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA
"ASV_5540","Bacteria",NA,NA,NA,NA,NA
"ASV_5541","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA
"ASV_5542","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_5543","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA
"ASV_5544","Bacteria","Actinobacteriota","Coriobacteriia",NA,NA,NA
"ASV_5545","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_5546","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ASV_5547","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"ASV_5548","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_5549","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales",NA,NA
"ASV_5550","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"ASV_5551","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Herbinix"
"ASV_5552","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_5553","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium"
"ASV_5554","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium"
"ASV_5555","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_5556","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_5557","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium"
"ASV_5558","Bacteria","Firmicutes","Clostridia","Oscillospirales",NA,NA
"ASV_5559","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA
"ASV_5560","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ASV_5561","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"ASV_5562","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_5563","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5564","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_5565","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_5566","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","SRB2",NA
"ASV_5567","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Mangrovibacterium"
"ASV_5568","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ASV_5569","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_5570","Bacteria","Patescibacteria","Berkelbacteria",NA,NA,NA
"ASV_5571","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_5572","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Acetivibrio"
"ASV_5573","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"ASV_5574","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_5575","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_5576","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax"
