name1,name2,D.ij.bMNTD,G.ij.bMNTD,Ds.ij.bMNTD,Gs.ij.bMNTD,C.ij.bMNTD,E.ij.bMNTD,ST.ij.bMNTD,MST.ij.bMNTD,bNTI.wt,RC.bMNTD.wt
SK1,K4,0.0137362939800998,0.0235174802922317,0.00977094956388101,0.0167285378529218,0.990229050436119,0.983271462147078,0.992973758661214,0.57998473025193,-0.620550922731424,-0.875875875875876
SK2,K4,0.00841376357881309,0.0134832475634955,0.00598490827948956,0.00959095168544722,0.994015091720511,0.990409048314553,0.996372244811982,0.621752323752923,-0.671381956304237,-0.793793793793794
SK3,K4,0.00977118152496051,0.0173730042661353,0.00695047164819209,0.012357827278844,0.993049528351808,0.987642172721156,0.994554797644759,0.55937219121337,-0.693911172986582,-0.87987987987988
SK4,K4,0.0114561657749418,0.0276397120184052,0.00814904064695934,0.0196607784081563,0.991850959353041,0.980339221591844,0.988393681880687,0.409671485107736,-0.329071388027746,-0.927927927927928
SK5,K4,0.0115362538101223,0.0249722847360334,0.00820600915342496,0.0177633745320356,0.991793990846575,0.982236625467964,0.990363557889222,0.457510615823634,-0.569561251943861,-0.97997997997998
SK6,K4,0.00970601908597528,0.0179577072260062,0.00690412006997845,0.0127737402710257,0.993095879930022,0.987226259728974,0.994089573504765,0.537298679178441,-0.65352702998494,-0.90990990990991
K6,K5,0.000775811783665784,0.00302234015056665,0.000551853201470859,0.00214986176175772,0.999448146798529,0.997850138238242,0.998401109086644,0.256281989010795,-0.932234641132092,-1
s1_xgl_root_1,K5,0.018297312508577,0.0368808228946927,0.0130153095103296,0.0262341983143734,0.98698469048967,0.973765801685627,0.986606794480788,0.489475326872335,-0.447702048974781,-0.851851851851852
s1_xgl_root_2,K5,0.0146546820488607,0.0280262499973031,0.0104242206363357,0.0199357319801902,0.989575779363664,0.98006426801981,0.990388294113291,0.517865413908049,-0.491541402347699,-0.861861861861862
s1_xgl_root_3,K5,0.0188860978612809,0.0321039659479781,0.0134341264047231,0.0228363074154277,0.986565873595277,0.977163692584572,0.990469788929105,0.582672850845565,-0.475734329401958,-0.76976976976977
s1_xgl_soil_1,K5,0.0299855929586435,0.0501132373767225,0.0213294587948126,0.0356467265188216,0.978670541205187,0.964353273481178,0.985370697163953,0.589603190398901,-0.426311765418883,-0.67967967967968
s1_xgl_soil_2,K5,0.0298432082577708,0.0509725515431083,0.0212281772022004,0.0362579769326122,0.9787718227978,0.963742023067388,0.984644225160212,0.576485613956685,-0.412631205196722,-0.673673673673674
s1_xgl_soil_3,K5,0.0329763835161495,0.0576297580333844,0.0234568785876519,0.0409934047668639,0.976543121412348,0.959006595233136,0.982042240844573,0.561935407474549,-0.479586189831122,-0.77977977977978
s2_xgl_root_1,K5,0.0148503775462187,0.0197932554628862,0.010563423454602,0.0140794089812767,0.989436576545398,0.985920591018723,0.996446477106243,0.747608518334637,-0.305612282338988,-0.149149149149149
s2_xgl_root_2,K5,0.0164287733893062,0.0190372781628114,0.0116861736080998,0.013541664515326,0.9883138263919,0.986458335484674,0.99812256910945,0.861358927595227,-0.164257925497353,0.135135135135135
s2_xgl_root_3,K5,0.0163400223696017,0.0232639374078844,0.0116230429166242,0.0165481868252846,0.988376957083376,0.983451813174715,0.995016937744892,0.698875634671108,-0.214624663491901,-0.0950950950950951
s2_xgl_soil_1,K5,0.0252188242009906,0.0378650389397038,0.0179387438624455,0.0269342943773797,0.982061256137555,0.97306570562262,0.990840132976721,0.65991806226891,-0.323819287555495,-0.409409409409409
s2_xgl_soil_2,K5,0.0198303346456621,0.0298865691693286,0.0141057842776483,0.0212590208402652,0.985894215722352,0.978740979159735,0.99274441775949,0.658705718620493,-0.412200177174257,-0.517517517517518
s2_xgl_soil_3,K5,0.0333109407925602,0.0419276086813696,0.0236948570612325,0.0298240959572727,0.976305142938767,0.970175904042727,0.993722004907615,0.789499232386474,-0.205463099275641,0.0530530530530531
SK1,K5,0.0103000422352945,0.0172870392307882,0.0073266627325179,0.0122966783236855,0.992673337267482,0.987703321676314,0.994993302021339,0.592841428646869,-0.754582461372467,-0.83983983983984
SK2,K5,0.00967156402436704,0.0149029008791227,0.00687961137282314,0.0106007845388563,0.993120388627177,0.989399215461144,0.996253049269105,0.646540242643299,-0.633164740196056,-0.66966966966967
SK3,K5,0.0134362847908637,0.0205169221477283,0.00955754595873297,0.0145941701453066,0.990442454041267,0.985405829854693,0.994914773527707,0.651557682166087,-0.476545412863352,-0.577577577577578
SK4,K5,0.00955331306364371,0.0167643758815111,0.00679549667822051,0.0119248955683023,0.993204503321779,0.988075104431698,0.994835505806784,0.56691493324736,-0.832155394313539,-0.903903903903904
SK5,K5,0.0113379284240728,0.0178756970795495,0.0080649356333668,0.0127154045215203,0.991935064366633,0.98728459547848,0.995311720438955,0.631291355842447,-0.720580394515637,-0.743743743743744
SK6,K5,0.0124088256131838,0.0190311123543539,0.00882669003656055,0.0135372786304908,0.991173309963439,0.986462721369509,0.995247462228272,0.648929603840469,-0.521693447796818,-0.56956956956957
s1_xgl_root_1,K6,0.0223918952474337,0.0527392382933831,0.0159278826894175,0.0375146628449201,0.984072117310583,0.96248533715508,0.978063822990435,0.415263916931733,-0.336600978738687,-0.845845845845846
s1_xgl_root_2,K6,0.0142439764752437,0.0347725584871566,0.0101320760847391,0.0247345401661709,0.989867923915261,0.975265459833829,0.985248068223411,0.40358981094926,-0.698682113158411,-0.993993993993994
s1_xgl_root_3,K6,0.0195413004025379,0.0346366450098893,0.0139001874102624,0.0246378617073847,0.986099812589738,0.975362138292615,0.989110966090823,0.55803656833122,-0.715985806006425,-0.901901901901902
s1_xgl_soil_1,K6,0.0548930066421988,0.06439314369812,0.0390466890187228,0.0458043603497123,0.960953310981277,0.954195639650288,0.992967742289072,0.846471871733675,-0.10282542736622,0.285285285285285
s1_xgl_soil_2,K6,0.0511360991177323,0.0649467798052708,0.0363743121759654,0.0461981747575541,0.963625687824035,0.953801825242446,0.989805312679271,0.779327054061539,-0.138917411242618,0.163163163163163
s1_xgl_soil_3,K6,0.072238734015259,0.0723644101176026,0.0513851136008219,0.0514745099736108,0.948614886399178,0.948525490026389,0.999905761153371,0.998169213331474,-0.00134011024853988,0.491491491491492
s2_xgl_root_1,K6,0.0170737475272663,0.0248998296949209,0.0121449589093714,0.0177118355540999,0.987855041090629,0.9822881644459,0.994364682657708,0.681833239413322,-0.428993449605569,-0.461461461461461
s2_xgl_root_2,K6,0.0156285625021639,0.0225126787877558,0.0111169647494321,0.0160137988675617,0.988883035250568,0.983986201132438,0.995048115961572,0.690773933194652,-0.387470221576681,-0.409409409409409
s2_xgl_root_3,K6,0.0221418348751881,0.0530939140656093,0.0157500088546935,0.0377669520786081,0.984249991145307,0.962233047921392,0.977630740744742,0.407702818890482,-0.329337657388372,-0.777777777777778
s2_xgl_soil_1,K6,0.0326360992672475,0.056245471285407,0.0232148263835988,0.0400087289863345,0.976785173616401,0.959991271013665,0.982806964052742,0.570267879463735,-0.254686417900992,-0.425425425425425
s2_xgl_soil_2,K6,0.0225897634306164,0.0319469678021597,0.016068630990304,0.0227246309351022,0.983931369009696,0.977275369064898,0.99323530059673,0.702318624113695,-0.400817238930803,-0.369369369369369
s2_xgl_soil_3,K6,0.0455286390293531,0.0519675023705994,0.0323855936916052,0.0369657088993305,0.967614406308395,0.96303429110067,0.995266590515948,0.871951340174691,-0.0872856146361801,0.319319319319319
SK1,K6,0.0164821570707064,0.0275333321324768,0.011724146678511,0.0195851078887627,0.988275853321489,0.980414892111237,0.992045782375607,0.593863987394385,-0.677213397722821,-0.885885885885886
SK2,K6,0.0100266700767274,0.0172180211403262,0.00713220667490893,0.0122475841297292,0.992867793325091,0.987752415870271,0.994847876535819,0.57933553183967,-0.68876599990696,-0.867867867867868
SK3,K6,0.00975196770967065,0.0178291682836486,0.00693680440865871,0.0126823074926802,0.993063195591341,0.98731769250732,0.994214363084315,0.543802504471335,-0.809713817005044,-0.921921921921922
SK4,K6,0.0128541147436213,0.0322590640197915,0.00914343468698469,0.0229466323283438,0.990856565313015,0.977053367671656,0.986069429093404,0.39291436288937,-0.389606200928825,-0.967967967967968
SK5,K6,0.0159248328664909,0.031971958348919,0.0113277088403278,0.0227424072998417,0.988672291159672,0.977257592700158,0.988454517678325,0.492336841502468,-0.600830038632248,-0.93993993993994
SK6,K6,0.0110939140563673,0.0170939085345834,0.00789136246412864,0.0121592999089116,0.992108637535871,0.987840700091088,0.995698114819982,0.646206178625081,-0.58419500784463,-0.637637637637638
s1_xgl_root_2,s1_xgl_root_1,0.000508440659681493,0.00233879912808068,0.000361665821157548,0.00166364292680632,0.999638334178842,0.998336357073194,0.998697551843369,0.217110753969811,-0.67119850696597,-1
s1_xgl_root_3,s1_xgl_root_1,0.000337858661147784,0.00194777993818494,0.000240326826331609,0.00138550176380297,0.999759673173668,0.998614498236197,0.998854549780113,0.173259645124263,-0.964099606810405,-1
s1_xgl_soil_1,s1_xgl_root_1,0.0109012533523262,0.0200122222990279,0.00775431836585479,0.0142351652511412,0.992245681634145,0.985764834748859,0.993468505829511,0.541171875755675,-0.608758485562707,-0.903903903903904
s1_xgl_soil_2,s1_xgl_root_1,0.0127637982735675,0.0216418297587923,0.00907919045379037,0.0153943434342342,0.99092080954621,0.984605656565766,0.993626985204463,0.586015810108218,-0.541098985274723,-0.785785785785786
s1_xgl_soil_3,s1_xgl_root_1,0.0137889848889749,0.0256075915425509,0.00980842984887196,0.0182152832326695,0.990191570151128,0.98178471676733,0.991509871789239,0.533900840172856,-0.578400912520833,-0.897897897897898
s2_xgl_root_1,s1_xgl_root_1,0.00151067829143193,0.00488621470929158,0.00107458106343791,0.00347567965216443,0.998925418936562,0.996524320347836,0.997596318460609,0.308428342095789,-1.05807295419993,-1
s2_xgl_root_2,s1_xgl_root_1,0.000791935000772496,0.00523571609894041,0.000563322025695604,0.00372428822560589,0.999436677974304,0.996275711774394,0.996837252154567,0.150777906047053,-0.791486586451015,-1
s2_xgl_root_3,s1_xgl_root_1,0.00172520967133672,0.006002330036191,0.0012271822887725,0.0042695987822011,0.998772817711228,0.995730401217799,0.996953845319499,0.286547791516141,-0.825913723241376,-1
