"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_2605","ASV_2605",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2616","ASV_2616",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2625","ASV_2625",0.333333333333333,3.44608218802876e-05,-4.46267436897107,"Retain","Discard","Discard","Both_Fail"
"ASV_2653","ASV_2653",0.5,0.000129101811942823,-3.88906766237148,"Retain","Discard","Discard","Both_Fail"
"ASV_2670","ASV_2670",0.333333333333333,9.211830261692e-05,-4.03565407299718,"Retain","Discard","Discard","Both_Fail"
"ASV_2676","ASV_2676",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2682","ASV_2682",0.333333333333333,9.43293890393253e-05,-4.0253529784279,"Retain","Discard","Discard","Both_Fail"
"ASV_2686","ASV_2686",0.166666666666667,1.91881352379772e-05,-4.71696722928785,"Retain","Discard","Discard","Both_Fail"
"ASV_2695","ASV_2695",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2702","ASV_2702",0.166666666666667,1.47601040292132e-05,-4.83091058159468,"Retain","Discard","Discard","Both_Fail"
"ASV_2727","ASV_2727",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2757","ASV_2757",0.166666666666667,0.000102798166080717,-3.98801463308519,"Retain","Discard","Discard","Both_Fail"
"ASV_2763","ASV_2763",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2774","ASV_2774",0.166666666666667,4.28043016847183e-05,-4.36851258369573,"Retain","Discard","Discard","Both_Fail"
"ASV_2778","ASV_2778",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2782","ASV_2782",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2814","ASV_2814",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2827","ASV_2827",0.166666666666667,4.42803120876396e-06,-5.35378932687502,"Retain","Discard","Discard","Both_Fail"
"ASV_2901","ASV_2901",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2908","ASV_2908",0.166666666666667,1.47601040292132e-05,-4.83091058159468,"Retain","Discard","Discard","Both_Fail"
"ASV_2912","ASV_2912",0.166666666666667,7.3800520146066e-06,-5.13194057725866,"Retain","Discard","Discard","Both_Fail"
"ASV_2938","ASV_2938",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2940","ASV_2940",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2942","ASV_2942",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2957","ASV_2957",0.166666666666667,2.95202080584264e-06,-5.5298805859307,"Retain","Discard","Discard","Both_Fail"
"ASV_2959","ASV_2959",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2960","ASV_2960",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2984","ASV_2984",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3013","ASV_3013",0.333333333333333,0.000220414528898578,-3.65675978181428,"Retain","Discard","Discard","Both_Fail"
"ASV_3025","ASV_3025",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3030","ASV_3030",0.5,1.75933537572735e-05,-4.75465136466742,"Retain","Discard","Discard","Both_Fail"
