"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_1552",0,9,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,11,10,8,0,0,0,0,0
"ASV_1562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,43,0,30,16,19,22,17,49,0,0,0
"ASV_1563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,0,24,40,36,63,0,0,0,18,0
"ASV_1565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,3,10,0,73,45,32,14,19
"ASV_1571",0,0,0,0,0,0,0,0,0,18,23,16,0,0,0,0,0,15,0,0,0,0,28,0,35,0,0,0,0,13,16,0,0,0,21,0
"ASV_1574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,46,20,0,26,22,38,0,12,18,0,0
"ASV_1578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,1,19,4,0,0,0,0,9,0,0,0,0,0,0,0
"ASV_1585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,9,0,0,6,0,11,6,8,13,43,0,11,0,0
"ASV_1591",0,0,0,0,0,0,0,0,0,0,0,0,10,11,33,13,0,45,0,5,0,0,17,0,0,0,0,0,0,6,7,0,0,0,3,0
"ASV_1593",0,0,0,0,0,0,0,0,0,15,11,17,0,0,0,12,7,57,0,0,0,0,0,0,58,33,6,0,0,15,0,0,0,0,0,0
"ASV_1594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,28,29,5,0,32,68,29,0,7,0,10,0
"ASV_1600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14,16,11,0,25,19,9,16,33,49,18,0,0
"ASV_1605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,13,11,37,37,44,0,18,12,0,0
"ASV_1611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,19,13,16,12,46,35,24,37,15
"ASV_1612",12,14,5,0,9,0,0,12,0,0,0,0,36,33,79,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,48,39,13,0,15,43,20,21,0,0,0,0
"ASV_1622",0,1,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"ASV_1624",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,0,19,15,0,0,40,24,43,0,0,0,0,0
"ASV_1627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,42,9,0,29,49,29,0,7,0,0,0
"ASV_1629",0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,29,0,0,0,0,0,0,17,0,0,0,11,16,17,23,0,12,15,0
"ASV_1637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,8,22,10,0,0,38,25,25,27,12
"ASV_1638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12,6,46,48,31,32,22
"ASV_1644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,51,30,16,15,0,45,29,0,26,0,0,0
"ASV_1647",0,0,0,0,0,0,0,0,6,0,0,10,0,0,18,0,0,15,0,0,0,0,0,0,22,15,7,13,17,0,43,54,0,0,0,0
"ASV_1651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,25,19,31,35,18,15,17,7,0
"ASV_1659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,73,64,20,0,0,12,13,0,7,0,0,0
"ASV_1665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,0,25,22,47,30,2,6,23,0,0
"ASV_1667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,21,6,0,51,53,55,0,0,0,0,0
"ASV_1675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,11,25,43,46,0,61,0
"ASV_1686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,15,8,0,42,47,41,3,0,0,0,0
"ASV_1690",0,0,2,0,0,0,7,3,10,43,31,36,7,0,0,0,0,40,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
